file,mode,name,date,distance_km,notes,id,source,original_file,original_sha256,min_altitude_m,max_altitude_m,original_points,map_points,simplify_degrees
drive__0037_GraphHopper-Track.gpx,drive,Uhldingen-Mühlhofen → Friedrichshafen,,27.6,,r-c79202adbb4544cbbe7440f1aa5bc49a,,,,,,,,
drive__0038_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Salt,,32.4,,r-65920b264b244401a17726dfa9ff4477,,,,,,,,
drive__0039_GraphHopper-Track.gpx,drive,Uhldingen-Mühlhofen → Constance,,58.9,,r-a519eac0d74e4ed5adbc91cf96739b0b,,,,,,,,
drive__0040_GraphHopper-Track.gpx,drive,Kyiv → Парафіївська селищна громада,,184.9,,r-b60153daa26d491da7bffbeaafe5b677,,,,,,,,
drive__0041_GraphHopper-Track.gpx,drive,Argentona → la Roca del Vallès,,13.1,,r-c4f09cf2651440f38f826c583a05fa44,,,,,,,,
drive__0042_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Vilobí d'Onyar,,35.6,,r-8caad4506ccf4874bdab7a9a4a4ab1b1,,,,,,,,
drive__0043_GraphHopper-Track.gpx,drive,Cartagena → San Javier,,24.7,,r-1277f70ad5514ac98f237446b403568a,,,,,,,,
drive__0044_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols (loop),,18.0,,r-ac7dc0dbb779485e9a008b6d9bebd29d,,,,,,,,
drive__0045_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Lloret de Mar,,38.4,,r-8b9af521cf3e408c982e4df6f87e56aa,,,,,,,,
drive__0046_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Palamós,,19.7,,r-0a27119848eb4f4b9421628078ec3510,,,,,,,,
drive__0047_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Torroella de Montgrí,,42.8,,r-8e4053df50054ab7b3054ebe8ffc1691,,,,,,,,
drive__0048_GraphHopper-Track.gpx,drive,Warsaw → Pustelnik,,56.3,,r-ea4f0e0380e44921aaf46618b0747bd3,,,,,,,,
drive__0049_GraphHopper-Track.gpx,drive,Kyiv (loop),,254.6,,r-5afee87e42784762a88c96529f167e8f,,,,,,,,
drive__0050_GraphHopper-Track.gpx,drive,Kyiv → Warsaw,,792.8,,r-04da1c8f424d45a28b0c2c0fe715e92a,,,,,,,,
drive__0051_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → el Prat de Llobregat,,122.8,,r-d87d466916444e819328e8f20b192979,,,,,,,,
